restaurant_name,compliant,business_address,street_number,street_name,city,postcode
CAFE 1 OF A KIND,1,25513 NORTHERN BLVD,25513,NORTHERN BLVD,Queens,
UNCLE JACK'S MEAT HOUSE,1,3618 DITMARS BLVD,3618,DITMARS BLVD,Queens,
KEILLY CHINESE FOOD,1,2140 UTOPIA PKWY,2140,UTOPIA PKWY,Queens,
SOUVLAKI SQUARE,1,20507 35TH AVE,20507,35TH AVE,Queens,
NATHANIEL'S BAKERY,1,2004 UTOPIA PKWY,2004,UTOPIA PKWY,Queens,
TACO BELL,1,3801 JUNCTION BLVD,3801,JUNCTION BLVD,Queens,
GYRO CORNER NYC,1,3269 FRANCIS LEWIS BLVD,3269,FRANCIS LEWIS BLVD,Queens,
ROMA BAGELS AND PASTRY CAFE,1,3331 FRANCIS LEWIS BLVD,3331,FRANCIS LEWIS BLVD,Queens,
TASTE OF CHINA,1,6824 FRESH MEADOW LN,6824,FRESH MEADOW LN,Queens,
FOREST HILLS DINER,1,6860 AUSTIN ST,6860,AUSTIN ST,Queens,
SUBWAY STORE #30214,1,9558 QUEENS BLVD,9558,QUEENS BLVD,Queens,
RED MANGO,1,6147 188TH ST,6147,188TH ST,Queens,
MCDONALD'S,1,5404 MYRTLE AVE,5404,MYRTLE AVE,Queens,
Little Frankies Pizzeria,1,20501B LINDEN BLVD,20501B,LINDEN BLVD,Queens,
BOSTON MARKET,1,16502 JAMAICA AVE,16502,JAMAICA AVE,Queens,
Carvel,1,14703 45TH AVE,14703,45TH AVE,Queens,
SUBWAY,1,18118 HILLSIDE AVE,18118,HILLSIDE AVE,Queens,
BURGER KING,1,12002 LIBERTY AVE,12002,LIBERTY AVE,Queens,
PARIS BAGUETTE,1,8816 NORTHERN BLVD,8816,NORTHERN BLVD,Queens,
UNO PIZZERIA & GRILL,1,3902 BELL BLVD,3902,BELL BLVD,Queens,
BUCCANEER DINER,1,9301 ASTORIA BLVD,9301,ASTORIA BLVD,Queens,
MCDONALD'S,1,3146 21ST ST,3146,21ST ST,Queens,
RIVER DOCK BAR & GRILL,0,1 RICHMOND TER,1,RICHMOND TER,Staten Island,
SUBWAY & CARVEL,1,9 FERRY TERMINAL DR,9,FERRY TERMINAL DR,Staten Island,
DUNKIN DONUTS,1,700 RICHMOND TER,700,RICHMOND TER,Staten Island,
LIBERTY TAVERN,1,382 FOREST AVE,382,FOREST AVE,Staten Island,
MD BAGELS,1,434 CASTLETON AVE,434,CASTLETON AVE,Staten Island,
LAROSA,1,1172 VICTORY BLVD,1172,VICTORY BLVD,Staten Island,
MANDI HOUSE,1,58 RICHMOND TER,58,RICHMOND TER,Staten Island,
GINO'S PIZZA,1,1351 FOREST AVE,1351,FOREST AVE,Staten Island,
KOTEN'S CARRIBEAN & AMERICAN,1,537 PORT RICHMOND AVE,537,PORT RICHMOND AVE,Staten Island,
TROPICAL SMOOTHIE CAFE,1,1407 FOREST AVE,1407,FOREST AVE,Staten Island,
Dairy Queen Grill & Chill,1,2005 FOREST AVE,2005,FOREST AVE,Staten Island,
